row_hash,empresa,titulo,local,estado,data_abertura,data_fechamento,dias_passados,status,vfn,nota
UcWr5mVleCrawUQ+skLmDw==,Tokio Marine Seguradora,Transporte mal feito,Uberlândia - MG,MG,2022-04-05,2022-05-10,35,Não resolvido,Não,6
bvKIGPB5T0B3yrz6mWPiKA==,"Allianz Seguros e SulAmérica Auto, Residencial e Condomínio.",RESTRIÇÃO TÉCNICA PARA O SEGURADO (CODE 3000),Ivoti - RS,RS,2022-04-05,2022-05-10,35,Não resolvido,Não,1
5eyaz3KHAmTxBHaZJKsj0g==,Bradesco Seguros,Não recebo meu título de capitalização!,Brasília - DF,DF,2022-04-27,2022-05-31,34,Resolvido,Não,8
99yPySrCwsmD+kmm7Vzssg==,Bradesco Seguros,CADASTRO CARTEIRINHA FARMÁCIAS,Recife - PE,PE,2022-05-05,2022-06-08,34,Não resolvido,Não,0
Q5ZWLyyfKFW3vEM1+ArPxQ==,Bradesco Seguros,DESMARCAÇÃO DE CIRURGIA AGENDADA,São Paulo - SP,SP,2022-04-26,2022-05-30,34,Resolvido,Sim,0
JuNlvTEc9FT+K0Nq3ipjZA==,HDI Seguros,Cancelamento do meu seguro,São Paulo - SP,SP,2022-04-26,2022-05-30,34,Resolvido,Sim,7
gFPl2n2aA5KYkEIPkjC2Bw==,HDI Seguros,Prestação de Serviço de Assistência 24h Ruim - Falta de Zelo,São Carlos - SP,SP,2022-03-29,2022-05-02,34,Resolvido,Sim,9
NSC07nYIaXZCcjFV+fIfHQ==,HDI Seguros,Meses de análise,Goiânia - GO,GO,2022-04-06,2022-05-10,34,Resolvido,Sim,10
G2sXtucj5rPQMapdWbo0rA==,Azul Seguros,RECUSA DE SINISTRO SEM AVALIAÇÃO CORRETA DOS DANOS,São Bernardo do Campo - SP,SP,2022-04-06,2022-05-10,34,Resolvido,Sim,8
PR5S9DcQoZ4xg2e/UlMocw==,Porto Seguro,Porto Seguro Carro Fácil nem tão fácil assim,Indaiatuba - SP,SP,2022-05-24,2022-06-27,34,Resolvido,Sim,8
Yi8SBXh/4KxUzL5DD2CMGQ==,MAPFRE Seguros,Cancelaram meu seguro,Carapicuíba - SP,SP,2022-04-12,2022-05-16,34,Resolvido,Sim,10
6RpM7zVA8aoRLRoHOwUb7g==,AIG Seguros Brasil,Seguro não foi pago,Campina Grande - PB,PB,2022-05-03,2022-06-06,34,Resolvido,Sim,9
hNP/vRfMqlDRR47cN/OCKA==,AIG Seguros Brasil,Atraso no pagamento do Seguro Proteção de Preço,Amparo - SP,SP,2022-05-03,2022-06-06,34,Resolvido,Sim,10
7+zf9MX1trYPBGu3SUB2sg==,AIG Seguros Brasil,Atraso no recebimento do seguro,Duque de Caxias - RJ,RJ,2022-05-10,2022-06-13,34,Resolvido,Sim,10
E+V89iE76R2p89DgFJi/bw==,AIG Seguros Brasil,PAGAMENTO PROTEÇÃO DE PREÇO ATRASADO A 1 ANO,Araçatuba - SP,SP,2022-05-24,2022-06-27,34,Resolvido,Sim,10
lwZAOwN6mhm3CMJjZSTL6g==,Zurich Brasil Seguros,Sinistro cheio de impedimento e mal atendimento,Mogi das Cruzes - SP,SP,2022-04-29,2022-06-02,34,Resolvido,Sim,6
kqEzkNtvYx9NkzuGrj9gJw==,Tokio Marine Seguradora,Descaso com consumidor - falta de informação - falta de retorno,Santo André - SP,SP,2022-04-12,2022-05-16,34,Resolvido,Sim,2
F7KNI9cvT4W8L/Yk7+Bq8Q==,Bradesco Seguros,Péssimo atendimento pelo SOS Portal Bradesco,Recife - PE,PE,2022-05-22,2022-06-25,34,Resolvido,Sim,7
WGitXCnOn3wkQPxIt+BSLg==,Bradesco Seguros,Não devolveu dinheiro debitado pós casamento de apólice de seguro de vida,São Paulo - SP,SP,2022-05-12,2022-06-15,34,Resolvido,Sim,9
t4TwQXGEarXlfBUaylsRcw==,Bradesco Seguros,Liberação para procedimento cirurgico,São Paulo - SP,SP,2022-06-10,2022-07-14,34,Resolvido,Sim,1
F/HgQ1OGU9dkOSfqeIRRaQ==,Bradesco Seguros,Se vira aí!!,São Paulo - SP,SP,2022-06-10,2022-07-14,34,Resolvido,Sim,10
d1WzFBHZ7hzPjwYwE+kCtQ==,Bradesco Seguros,Jogo se sinuca.,Natal - RN,RN,2022-05-10,2022-06-13,34,Resolvido,Sim,7
9I11N1DQqhdnWfxo/Fsf6w==,HDI Seguros,Estão demorando para arrumar meu carro.,Marília - SP,SP,2022-04-25,2022-05-29,34,Resolvido,Não,0
2KDn4ixH9j/4hg/iViZKjg==,HDI Seguros,"nao realização do serviço agendado, atraso, desorganização",São Paulo - SP,SP,2022-04-26,2022-05-30,34,Resolvido,Não,5
xsUc2rDz9g4DNuS5d0HZ6w==,HDI Seguros,PAGAMENTO NÃO EFETUADO,Aparecida de Goiânia - GO,GO,2022-04-26,2022-05-30,34,Resolvido,Não,10
BhDsjthPYvs6XclrAJX+SA==,Azul Seguros,Cancelou o pagamento com uma informação [Editado pelo Reclame Aqui],Sorocaba - SP,SP,2022-05-05,2022-06-08,34,Resolvido,Não,0
De20M1OnPQdHLkj/RbXJLw==,Azul Seguros,Divergência de informações e péssimo atendimento.,Praia Grande - SP,SP,2022-05-05,2022-06-08,34,Resolvido,Não,5
i/p4iwl/qJ/MOzJ6ArK3cg==,Porto Seguro,Sinistro aberto em 01/04/2022 sem solução ainda,Vinhedo - SP,SP,2022-05-17,2022-06-20,34,Resolvido,Não,0
3J3Ob7/pk0tGUyPmhkmO0A==,Porto Seguro,Cobrança indevida - Porto Seguro Faz,Belo Horizonte - MG,MG,2022-05-13,2022-06-16,34,Resolvido,Não,2
h6/yb7rfuogmnzKO9T/++Q==,MAPFRE Seguros,A pior seguradora do universo,São Paulo - SP,SP,2022-03-29,2022-05-02,34,Resolvido,Não,6
pvNMfpOJ1pV1fnIqhaVqBA==,AIG Seguros Brasil,Proteção de preço não paga pela Axa Seguros,Rio de Janeiro - RJ,RJ,2022-04-05,2022-05-09,34,Resolvido,Não,10
xhJBqf9GNWni32Qa9VT/JA==,Zurich Brasil Seguros,Sem respostas da empresa,Brasília - DF,DF,2022-05-27,2022-06-30,34,Resolvido,Não,6
QWjIOOKdVNOBRYsaX9NccA==,Tokio Marine Seguradora,Negativam sei nome sem aviso e sem oportunidade de negociação,Guarulhos - SP,SP,2022-04-14,2022-05-18,34,Resolvido,Não,9
bVLvQ847ooSHSejZ5F8uqA==,"Allianz Seguros e SulAmérica Auto, Residencial e Condomínio.",ALLIANZ NÃO ACEITOU MEU PAGAMENTO,Brasília - DF,DF,2022-05-17,2022-06-20,34,Resolvido,Não,0
gZcWEDzZItB1XTLoqDpm5A==,Bradesco Seguros,Bradesco Seguros e a inércia para reembolso de Sinistro à terceiros,Santana de Parnaíba - SP,SP,2022-06-08,2022-07-12,34,Resolvido,Não,5
TbiZoOCM9eUg7c1A26XzuQ==,Bradesco Seguros,Incompetência pura para o seguro de viagem,São Paulo - SP,SP,2022-05-03,2022-06-06,34,Resolvido,Não,6
YFzo5+Mh9H6QxEEFhBYweA==,Azul Seguros,Péssimo atendimento ao cliente,São Paulo - SP,SP,2022-05-17,2022-06-20,34,Não resolvido,Não,3
XFbTdG3tG0gjUuYHUmJiQQ==,Azul Seguros,recusa indevida SINISTRO 2022084037 Apólice número: 10223101007398-000:,São Paulo - SP,SP,2022-05-03,2022-06-06,34,Não resolvido,Não,2
oiJBQhO7rH51lrfOHaN+AA==,Azul Seguros,Demora no conserto do meu carro,Curitiba - PR,PR,2022-04-06,2022-05-10,34,Não resolvido,Não,3
D52D5fogt0j3kt7655mbiw==,Porto Seguro,Empresa não forneceu táxi para retorno do guincho,Ribeirão Preto - SP,SP,2022-04-08,2022-05-12,34,Não resolvido,Não,6
u4yaIBtHJAkzzR6GKgDaMg==,AIG Seguros Brasil,FALTA DE RETORNO,Fortaleza - CE,CE,2022-03-30,2022-05-03,34,Não resolvido,Não,0
fO26B340eCzOOLFCRJBuvg==,AIG Seguros Brasil,Proteção de Preços Negada,Fortaleza - CE,CE,2022-03-31,2022-05-04,34,Não resolvido,Não,2
2SAJIFhE5awj35aa4+//Zg==,Zurich Brasil Seguros,NEGATIVA DE PAGAMENTO DE PEQUENOS REPAROS,Goiânia - GO,GO,2022-04-28,2022-06-01,34,Não resolvido,Não,0
82KXzIptSDuVCFku4JLPrA==,"Allianz Seguros e SulAmérica Auto, Residencial e Condomínio.",Situação desconfortável seguro residencial,Volta Redonda - RJ,RJ,2022-05-19,2022-06-22,34,Não resolvido,Não,0
a8YsMfjd0O4OMRzlI6yjHw==,Bradesco Seguros,APP Bradesco Seguros não funciona corretamente,Itu - SP,SP,2022-05-11,2022-06-14,34,Não resolvido,Não,0
gX8DNb2DNUgt6rzB8aER/w==,Bradesco Seguros,PERTURBAÇÃO INCESSANTE,Resende - RJ,RJ,2022-05-17,2022-06-20,34,Não resolvido,Não,0
8Rg/yGXAZODa3SZ4jgnD/g==,Bradesco Seguros,Seguradora não atende para recarga de bateria!,São Paulo - SP,SP,2022-05-18,2022-06-21,34,Não resolvido,Não,5
NA2RABrVX/cPQhNXSoVbow==,Bradesco Seguros,PSOCORRO SEM COBERTURA PARA EXAME COBERTO PELA ANS,São Paulo - SP,SP,2022-04-27,2022-05-30,33,Não resolvido,Não,0
K8/WwlQjbKtUD87PrS98kA==,Bradesco Seguros,Falta de comprometimento em solucionar sinistros de veículos.,Campo Mourão - PR,PR,2022-04-27,2022-05-30,33,Resolvido,Sim,8
ZPa0AiNrGfnPBrCDYo0sUg==,HDI Seguros,falta de respeito com o cliente,Mamborê - PR,PR,2022-03-30,2022-05-02,33,Resolvido,Sim,1
kZYPGoOj9r7yFnBb3A3DIQ==,Porto Seguro,Porto Seguro / Autoglass - ATENDIMENTO PÉSSIMO,São Paulo - SP,SP,2022-05-20,2022-06-22,33,Resolvido,Sim,8
C1IMv+MTaCpuFw9N89qlqQ==,MAPFRE Seguros,GARANTIA ESTENDIDA NÃO CUMPRIDA,Rio de Janeiro - RJ,RJ,2022-04-03,2022-05-06,33,Resolvido,Sim,8
OxPnhOXvLzHurGcJHH+VpQ==,AIG Seguros Brasil,Atraso no Pagamento de sinistro,Rio de Janeiro - RJ,RJ,2022-04-20,2022-05-23,33,Resolvido,Sim,7
LRF34e/WZaZDddV1XC7Rfw==,AIG Seguros Brasil,Demora na análise de proteção de preço,Brasília - DF,DF,2022-05-11,2022-06-13,33,Resolvido,Sim,10
6Kk1ziVoznidfCeHQ+n9Pg==,Bradesco Seguros,Reembolso seguro,Brasília - DF,DF,2022-05-26,2022-06-28,33,Resolvido,Sim,8
sP5hGCIJFJBwVgZRe58zSw==,Bradesco Seguros,"Não consigo o extrato de coparticipação do Bradesco Saúde, site sempre dando erro",Macaé - RJ,RJ,2022-06-01,2022-07-04,33,Resolvido,Sim,8
rU250o4qcNR9IJsDCLdgsA==,Bradesco Seguros,Não cumprimento de visita técnica agendada,São Paulo - SP,SP,2022-05-27,2022-06-29,33,Resolvido,Sim,10
xv0c5FuaBaDps/ZRc549sQ==,Bradesco Seguros,Seguro viagem sem documento,Rio de Janeiro - RJ,RJ,2022-05-19,2022-06-21,33,Resolvido,Sim,6
o4SKMk8BsFOUnJrk1Aw/Iw==,HDI Seguros,Troca de lanterna,Gaspar - SC,SC,2022-05-13,2022-06-15,33,Resolvido,Não,3
aAHRsr83oEkIQwpvQdSVxw==,HDI Seguros,Abandono,Divinópolis - MG,MG,2022-05-16,2022-06-18,33,Resolvido,Não,7
iuDcLySOipCL8aXJeJWt9g==,Azul Seguros,AZUL SEGUROS NÃO CMPRE COM SUAS OBRIGAÇÕES COM TERCEIROS.,Guarulhos - SP,SP,2022-04-26,2022-05-29,33,Resolvido,Não,1
khdK/q5JZbYRZuDTaUfsdw==,Porto Seguro,Estou sem carro por atraso no pedido de peças e estou tendo grandes gastos,Rio de Janeiro - RJ,RJ,2022-03-30,2022-05-02,33,Resolvido,Não,6
KEP81NpXKWOjtRVS8b27cw==,MAPFRE Seguros,Garantia estendida,Rio de Janeiro - RJ,RJ,2022-04-16,2022-05-19,33,Resolvido,Não,2
r3e0oZkk00PDsLJwG0CGsA==,Zurich Brasil Seguros,CARRO NA OFICINA CREDENCIADA ZURICH E AGUARDANDO PEÇA SEM PREVISÃO,Florianópolis - SC,SC,2022-05-26,2022-06-28,33,Resolvido,Não,5
n49A/eIXwhfuWiSh2SYn7w==,"Allianz Seguros e SulAmérica Auto, Residencial e Condomínio.","Numero do sinistro 259658603 - serviço mal feito , pela oficina credenciada da allianz Seguros",São Paulo - SP,SP,2022-04-20,2022-05-23,33,Resolvido,Não,1
ONees9+EXZuNT6CseCfIKw==,Bradesco Seguros,Apólice cancela e continua caindo pagamento,Curitiba - PR,PR,2022-06-02,2022-07-05,33,Resolvido,Não,0
3Vsi7ssgYrmDlLdNgFtGUQ==,Bradesco Seguros,Guincho,Araguaína - TO,TO,2022-06-08,2022-07-11,33,Resolvido,Não,5
9CvPxhL9XRI3/bj1D/XIbA==,Bradesco Seguros,Seguro de Vida,Joinville - SC,SC,2022-05-13,2022-06-15,33,Resolvido,Não,8
2AS4qUSlqDdbNowoUYg5Kw==,Bradesco Seguros,Um descaso total com o Cliente,Caxias do Sul - RS,RS,2022-06-10,2022-07-13,33,Resolvido,Não,2
JATl3t9J6YeQ86JN5VcRpQ==,Azul Seguros,Multa do veículo arrematado na copart,Mauá - SP,SP,2022-04-16,2022-05-19,33,Não resolvido,Não,0
wpFzUtUp2uEsSb7j0HQLUw==,Azul Seguros,"Cancelaram meu seguro, e não avisaram",São Paulo - SP,SP,2022-05-27,2022-06-29,33,Não resolvido,Não,4
aV8K7TyXpZlFZQ1s6p2DKA==,Azul Seguros,DESCASO E FALTA DE COMPROMETIMENTO COM O CLIENTE,Cotia - SP,SP,2022-05-27,2022-06-29,33,Não resolvido,Não,0
iNPQGTxPZxQeWNjDiIBaLw==,Azul Seguros,Estou sem meu carro a 82 dias!,Divinésia - MG,MG,2022-05-27,2022-06-29,33,Não resolvido,Não,0
MZkrqzeVA+YqzZ4IOtzZ3Q==,AIG Seguros Brasil,AIG SEGUROS,Patos de Minas - MG,MG,2022-05-09,2022-06-11,33,Não resolvido,Não,0
HBGs9FVeGuuU5UyiBIVyPA==,AIG Seguros Brasil,Sinistro finalizado sem ser pago,Santa Quitéria - CE,CE,2022-05-27,2022-06-29,33,Não resolvido,Não,0
s3MV9V1biS/VMwcMoPFlUg==,Tokio Marine Seguradora,Tecnico enviado pela Tokio Marine queimou minha geladeira e não consigo resolver o problema.,Mogi das Cruzes - SP,SP,2022-04-25,2022-05-28,33,Não resolvido,Não,0
JZXqEP8dFpjie4u6F4JZIQ==,Bradesco Seguros,Dificuldades em obter a Carta de Permanência,São Paulo - SP,SP,2022-05-11,2022-06-13,33,Não resolvido,Não,0
JUZ5kFAUOdEixHb/XnOTfg==,Bradesco Seguros,Cancelamento de apólice sem motivo,Nova Iguaçu - RJ,RJ,2022-05-25,2022-06-26,32,Resolvido,Não,5
GE3yNYp2yKYLV0zT9p0s2w==,Bradesco Seguros,Serviço Indevido,Osasco - SP,SP,2022-05-20,2022-06-21,32,Não resolvido,Não,0
sRFiiSFaOBCarwXud3YBPQ==,Azul Seguros,Entregaram meu carro com o Eixo traseiro Torto - 7 meses atrás!,São Paulo - SP,SP,2022-05-02,2022-06-03,32,Resolvido,Sim,7
N3ortGA+KsQTk3wIgzKBvQ==,Azul Seguros,Colisão em terceiro,Itapecerica da Serra - SP,SP,2022-05-23,2022-06-24,32,Resolvido,Sim,8
u2xTG4J6cL/vPCJaGwR01w==,Azul Seguros,Seguro não recebe vistoria complementar e não conserta o carro,Belo Horizonte - MG,MG,2022-05-12,2022-06-13,32,Resolvido,Sim,10
TuHdipQpVjVnSWmj9rHFmA==,Azul Seguros,Pagamento de tempo parado,Florianópolis - SC,SC,2022-05-16,2022-06-17,32,Resolvido,Sim,10
X8Qy03wTpJ7fJs4xXHeAgg==,Porto Seguro,O Jogo do empura-empura,Itapevi - SP,SP,2022-03-29,2022-04-30,32,Resolvido,Sim,8
IoVqLMI9Hku9DVdp+6R+zQ==,Porto Seguro,Nome no SPC,São Paulo - SP,SP,2022-03-31,2022-05-02,32,Resolvido,Sim,10
sNUzs88LRDAdZal6gj7CJQ==,Porto Seguro,Cancelei Apolice - Mas continua debitando em meu cartao,São Paulo - SP,SP,2022-05-19,2022-06-20,32,Resolvido,Sim,10
/rt1neUzzDzjMwLnoQVi7A==,MAPFRE Seguros,Troca de farol o par,Duque de Caxias - RJ,RJ,2022-04-11,2022-05-13,32,Resolvido,Sim,10
hon4e6nptC+vxMz+5XyJbw==,AIG Seguros Brasil,Demora pagamento Proteção de Preço,Recife - PE,PE,2022-04-09,2022-05-11,32,Resolvido,Sim,10
qriAHPf/rTTrhnVENm7D0A==,Tokio Marine Seguradora,Seguro,Passo Fundo - RS,RS,2022-04-11,2022-05-13,32,Resolvido,Sim,5
GVpGQST3wgIB1bSJDlCKeQ==,Tokio Marine Seguradora,ESTORNO E CANCELAMENTO,São Paulo - SP,SP,2022-05-27,2022-06-28,32,Resolvido,Sim,10
Sp6b61AwGRSBJeQCfqafmQ==,Bradesco Seguros,Bradesco residencial,Nova Iguaçu - RJ,RJ,2022-05-25,2022-06-26,32,Resolvido,Sim,8
p6XpNp/beRxy40/48xTobQ==,Bradesco Seguros,autorização a reembolso total,Manaus - AM,AM,2022-05-20,2022-06-21,32,Resolvido,Sim,6
6RR8mFkGtAJJXW8hoWxt+g==,Porto Seguro,Acordo não CUMPRIDO,Betim - MG,MG,2022-04-09,2022-05-11,32,Resolvido,Não,7
nw2ZadQ895akb/K8W8GZTw==,Porto Seguro,O não recebimento de peças de sinistro,Jundiaí - SP,SP,2022-04-08,2022-05-10,32,Resolvido,Não,10
CidIZ4V2vBnPY2FtCOe0SA==,HDI Seguros,HDI Seguros não conserta nem devolve carro de terceiro,Curitiba - PR,PR,2022-04-25,2022-05-27,32,Não resolvido,Não,0
XNGENFAAZ5aI0tI2WJLVqA==,HDI Seguros,"Serviço de MÁ QUALIDADE, DESCASO COM SEGURADO!!",Campo Belo - MG,MG,2022-05-27,2022-06-28,32,Não resolvido,Não,1
EFZ9/Wjn5c8qCoQl47HTXw==,Azul Seguros,Vistoria,Osasco - SP,SP,2022-05-12,2022-06-13,32,Não resolvido,Não,0
T/rqSagI4HOpcpxOTxWg8A==,Azul Seguros,Azul recusa o seguro e fico sem seguro,São Paulo - SP,SP,2022-05-19,2022-06-20,32,Não resolvido,Não,0
3w2miCPY2r0DmFZY5w42KA==,Porto Seguro,PORTO SEGURO FEZ O SERVIÇO DA TERCEIRA PELA METADE . ABSURDO / SEGURADO E TERCEIRO AVALIANDO AJUIZAR AÇÃO POIS TEMOS PROVAS,Maceió - AL,AL,2022-05-08,2022-06-09,32,Não resolvido,Não,0
lMNZ9WdCzOX1sssZ5zip2Q==,Bradesco Seguros,"Bradesco Seguros, nunca mais!!!",Poços de Caldas - MG,MG,2022-06-09,2022-07-11,32,Não resolvido,Não,0
LVQ8u6JtXd7lWPKYX/syXA==,Bradesco Seguros,Cobrança absurda,Magé - RJ,RJ,2022-05-26,2022-06-27,32,Não resolvido,Não,0
0Jjuzqbl6rXE3JfEupe49Q==,Bradesco Seguros,Banco Bradesco e venda casada,Campinas - SP,SP,2022-04-12,2022-05-14,32,Não resolvido,Não,0
qGLcbuD+ctTulxKb0sIttg==,Bradesco Seguros,Falta de Assistência da seguradora com carro quebrado DENTRO da cidade,Capivari - SP,SP,2022-04-12,2022-05-13,31,Resolvido,Não,0
VA8gDNqP9NPHghTYgiFzRA==,Bradesco Seguros,INDENIZAÇÃO DE SINISTRO RESIDENCIAL,Araguatins - TO,TO,2022-04-22,2022-05-23,31,Não resolvido,Não,0
yBHUWZshF0FXQB4Lglo/zA==,Bradesco Seguros,Cobranças indevidas do fator moderador - 2 meses consecutivos,Itabira - MG,MG,2022-04-29,2022-05-30,31,Não resolvido,Não,5
s9dXpvQe9HqdEoEIYUsxsw==,Bradesco Seguros,MAIS UMA VEZ O PLANO SE RECUSA REEMBOLSO,São José dos Campos - SP,SP,2022-04-25,2022-05-26,31,Resolvido,Sim,8
WxDc2RErDFTL1RZs7i0LVA==,HDI Seguros,SINISTRO: 010603153179860,Parauapebas - PA,PA,2022-04-08,2022-05-09,31,Resolvido,Sim,5
zfuXs5jmJgPIpTnn2bsOyQ==,Porto Seguro,consulta ao Serasa,São Paulo - SP,SP,2022-05-03,2022-06-03,31,Resolvido,Sim,10
jWVNU1eqzCHY2b2HCP3Jfw==,Porto Seguro,Seguro de vida,Itapetininga - SP,SP,2022-05-12,2022-06-12,31,Resolvido,Sim,10
ozA2HVppkHtlGJb799m3YQ==,MAPFRE Seguros,Ganhos cessantes,Ponta Grossa - PR,PR,2022-04-26,2022-05-27,31,Resolvido,Sim,8
JX9ZLvFgNX7m5Uhp3zNXyg==,AIG Seguros Brasil,Demora para pagamento de Proteção Preço Visa,Santa Cruz do Sul - RS,RS,2022-03-28,2022-04-28,31,Resolvido,Sim,8
hz8KVfpF+4FhQu6qacDegw==,AIG Seguros Brasil,Atraso no pagamento do seguro proteção de preço,Niterói - RJ,RJ,2022-04-04,2022-05-05,31,Resolvido,Sim,9
3ON8lXRc2cT3rMXaNn8ylg==,AIG Seguros Brasil,Sem retorno na Proteção de Preço,Belo Horizonte - MG,MG,2022-05-18,2022-06-18,31,Resolvido,Sim,9
5j/VuOtDYbr53XWktRXo8g==,Bradesco Seguros,PROBLEMAS COM REEMBOLSO,São Luís - MA,MA,2022-06-01,2022-07-02,31,Resolvido,Sim,8
QI7NDswwU+Se3CBsvIrMeQ==,Bradesco Seguros,Falta de informação,São Paulo - SP,SP,2022-05-02,2022-06-02,31,Resolvido,Sim,6
FZMnD9mt2OBuiPkaVFERjw==,Bradesco Seguros,Material para realização da cirurgia não aprovado,Salvador - BA,BA,2022-05-09,2022-06-09,31,Resolvido,Sim,10
IrcYPw52LBBmccPoivo1Ow==,Bradesco Seguros,nada de contato,Rio de Janeiro - RJ,RJ,2022-06-11,2022-07-12,31,Resolvido,Sim,6
nLQY326gyCCQfDIPYJ/hEw==,MAPFRE Seguros,Devolução de valor - Título de capitalização,Curitiba - PR,PR,2022-04-04,2022-05-05,31,Resolvido,Não,0
MKbPaEOhoj7McLCv7KuEsQ==,MAPFRE Seguros,Indenização,São João de Meriti - RJ,RJ,2022-04-18,2022-05-19,31,Resolvido,Não,0
q0hv6LNsFdwnqGZ6fSZ/hQ==,MAPFRE Seguros,Enganação,São Paulo - SP,SP,2022-04-19,2022-05-20,31,Resolvido,Não,4
hk2BolOrfDjI2WuzkbL3yg==,Zurich Brasil Seguros,Assistência técnica ruim e pós zurich péssimo,São Paulo - SP,SP,2022-04-08,2022-05-09,31,Resolvido,Não,0
RK4CadDlIELKChy09sqjQA==,Zurich Brasil Seguros,Há 2 meses esperando pagamento de indenização de perda total de veículo,Viçosa - MG,MG,2022-03-28,2022-04-28,31,Resolvido,Não,8
miVuGaJuZ6IS5gbJDMdKoQ==,Tokio Marine Seguradora,Falta de respeito com seus clientes,Betim - MG,MG,2022-05-18,2022-06-18,31,Resolvido,Não,5
niz1Qe0+TGB94VsY+tuCzg==,"Allianz Seguros e SulAmérica Auto, Residencial e Condomínio.",Não estão respondendo solicitação de reembolso,Campinas - SP,SP,2022-04-03,2022-05-04,31,Resolvido,Não,1
FgyP09gjqQUtRdai2/xSTg==,Bradesco Seguros,Avaliação Neuropsicológica,Campinas - SP,SP,2022-05-09,2022-06-09,31,Resolvido,Não,4
vjs4iePmp0YdYKiiJAsYnw==,Azul Seguros,Azul Seguros deixa Consumidor falando sozinho,Praia Grande - SP,SP,2022-04-25,2022-05-26,31,Não resolvido,Não,0
503q984ZA2b8cXMD5tcOhA==,AIG Seguros Brasil,SEGURO PROTEÇÃO DE PREÇO,Paulista - PE,PE,2022-04-14,2022-05-15,31,Não resolvido,Não,0
Zg0apB48PUKysrBGdtK6Dg==,AIG Seguros Brasil,Dois seguros de proteção de preço atrasados meses,Belo Horizonte - MG,MG,2022-04-19,2022-05-20,31,Não resolvido,Não,0
9uL8t090gG8g2SaZIQ//XQ==,AIG Seguros Brasil,Seguro aprovado e não pago!,Campina Verde - MG,MG,2022-04-23,2022-05-24,31,Não resolvido,Não,0
ES8lIJnE/nitIuyc9z5Q2g==,AIG Seguros Brasil,Demora na resposta,Paranaguá - PR,PR,2022-05-12,2022-06-12,31,Não resolvido,Não,0
3ZNwvttRFUlVFmdotYJRiQ==,Bradesco Seguros,Alteração de Senha,São Paulo - SP,SP,2022-05-08,2022-06-07,30,Resolvido,Não,0
/1Fb77KjmOxX5bLBB7M4Rg==,Bradesco Seguros,Cobrança vida previdência a 3 anos,São Paulo - SP,SP,2022-04-13,2022-05-13,30,Resolvido,Não,7
JdPx0LCBjpReU8Ca4ynwlA==,Bradesco Seguros,A seguradora faz questão de dificultar qualquer reembolso,Santa Cruz do Sul - RS,RS,2022-04-19,2022-05-19,30,Resolvido,Não,6
fHihm4EJDs8TmdpTcDoWew==,HDI Seguros,Por que a HDI se intitula uma seguradora humana?,Salvador - BA,BA,2022-03-31,2022-04-30,30,Resolvido,Sim,7
eWtwyyfdSDatZZvCUFftIg==,Azul Seguros,Impossibilidade de envio de documentos.,São Paulo - SP,SP,2022-05-09,2022-06-08,30,Resolvido,Sim,7
Wu3NsrLlycDe0rOjmwsoKA==,Azul Seguros,"Demora, desencontro de informação e enrolação.",Curitiba - PR,PR,2022-04-01,2022-05-01,30,Resolvido,Sim,9
7LSMZnpYvIJ+BKTfz1LvAw==,Porto Seguro,A EMPRESA NÃO RETORNA O ASSEGURADO,Brasília - DF,DF,2022-04-26,2022-05-26,30,Resolvido,Sim,10
JE89AhnZn4YLUUma+dMqBw==,Porto Seguro,Péssimo atendimento na assistência em casa - Não consigo contato.,São Paulo - SP,SP,2022-03-28,2022-04-27,30,Resolvido,Sim,10
vdadfLRMFTdNRShO+uGZuA==,AIG Seguros Brasil,Demora na análise de seguro do cartão visa,Belo Horizonte - MG,MG,2022-05-24,2022-06-23,30,Resolvido,Sim,9
H9tDS1snI9TXhZ4RoKx5+Q==,AIG Seguros Brasil,Reembolso do seguro da Visa,Marabá - PA,PA,2022-04-25,2022-05-25,30,Resolvido,Sim,10
kyhW8/rplm1567HDDtRweQ==,Zurich Brasil Seguros,Atraso no reparo,Brasília - DF,DF,2022-05-27,2022-06-26,30,Resolvido,Sim,9
/gYccuDJfAdDwEeolPNnLA==,"Allianz Seguros e SulAmérica Auto, Residencial e Condomínio.",Serviço 24 H,São José dos Campos - SP,SP,2022-06-01,2022-07-01,30,Resolvido,Sim,8
2FCmn27YoED93TnXjEKx1Q==,"Allianz Seguros e SulAmérica Auto, Residencial e Condomínio.",Não há explicação para não entrar em débito automático,Mogi das Cruzes - SP,SP,2022-05-11,2022-06-10,30,Resolvido,Sim,10
lxW53rL9KLITooa90ZL1KQ==,Bradesco Seguros,empresa se recusa a trocar meu email de cadastro e me ignora.,São José dos Campos - SP,SP,2022-06-07,2022-07-07,30,Resolvido,Sim,0
SN3hvvEyKsG3nye4zeBPuQ==,Bradesco Seguros,Desconto coparticipação,Brasília - DF,DF,2022-06-01,2022-07-01,30,Resolvido,Sim,8
hTgIdyso2J0GJ/0loN6JNw==,Bradesco Seguros,Demora para autorização de cirurgia,Três Rios - RJ,RJ,2022-06-11,2022-07-11,30,Resolvido,Sim,10
DjAokjuO8FMwJswe3r3zfw==,Bradesco Seguros,Reembolso não realizado.,Niterói - RJ,RJ,2022-05-16,2022-06-15,30,Resolvido,Sim,6
